,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.42,22.44,23.13,25.22,15.32,8.74,2.75,0.55,0.27,0.12,0.00,0.00,0.0
Expenses,16.24,18.78,19.1,21.0,12.46,6.88,1.62,0.48,0.16,0.07,0.11,0.07,0.03
Operating Profit,4.18,3.66,4.03,4.22,2.86,1.86,1.13,0.07,0.11,0.05,-0.11,-0.07,-0.03
OPM %,20.47,16.31,17.42,16.73,18.67,21.28,41.09,12.73,40.74,41.67,,,
Other Income,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.06,0.00,0.00,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0
Depreciation,2.76,2.1,2.68,4.75,3.81,2.68,1.42,0.85,0.57,0.41,0.30,0.06,0.05
Profit before tax,1.51,1.56,1.35,-0.53,-0.95,-0.82,-0.29,-0.71,-0.39,-0.3,-0.41,-0.13,-0.08
Tax %,21.85,16.03,23.7,32.08,31.58,30.49,-210.34,29.58,-35.9,-6.67,-7.32,-53.85,
Net Profit,1.18,1.31,1.03,-0.36,-0.66,-0.57,-0.9,-0.51,-0.54,-0.32,-0.44,-0.20,-0.09
EPS in Rs,1.29,1.43,1.12,-0.39,-0.72,-0.62,-0.98,-0.56,-0.59,-0.35,-0.48,-0.22,-0.1
