,Dec 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1495.0,2172.0,1937.0,2272.0,2563.0,2690.0,2799.0,3174.0,3175.0,3288.0,4410.0,5172.0,5116
Expenses,1315.0,1892.0,1764.0,2048.0,2157.0,2348.0,2447.0,2888.0,2701.0,2602.0,3410.0,4235.0,4275
Operating Profit,180.0,280.0,172.0,224.0,406.0,342.0,352.0,286.0,475.0,686.0,1000.0,938.0,841
OPM %,12.0,13.0,9.0,10.0,16.0,13.0,13.0,9.0,15.0,21.0,23.0,18.0,16
Other Income,22.0,29.0,39.0,25.0,35.0,26.0,20.0,19.0,-49.0,-6.0,-5.0,32.0,33
Interest,0.0,0.0,0.0,11.0,43.0,45.0,40.0,43.0,117.0,111.0,87.0,67.0,70
Depreciation,22.0,35.0,27.0,44.0,102.0,104.0,114.0,128.0,347.0,430.0,395.0,394.0,406
Profit before tax,180.0,274.0,184.0,194.0,296.0,219.0,217.0,134.0,-39.0,140.0,512.0,508.0,398
Tax %,32.0,30.0,34.0,34.0,33.0,36.0,33.0,33.0,-7.0,27.0,25.0,27.0,
Net Profit,124.0,193.0,123.0,129.0,197.0,140.0,145.0,90.0,-42.0,102.0,382.0,371.0,292
EPS in Rs,52.34,81.46,51.67,54.51,82.95,58.93,60.99,37.83,-17.64,42.91,161.08,156.16,123.26
