,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,1267.0,1411.0,1390.0,1618.0,1711.0,1795.0,3941.0,4562.0,4361.0,3762.0,5561.0,6867.0,7166
Expenses,1012.0,1190.0,1206.0,1375.0,1405.0,1495.0,3257.0,3821.0,3726.0,3225.0,4588.0,5571.0,5822
Operating Profit,254.0,221.0,184.0,243.0,306.0,299.0,683.0,740.0,635.0,537.0,973.0,1296.0,1344
OPM %,20.0,16.0,13.0,15.0,18.0,17.0,17.0,16.0,15.0,14.0,17.0,19.0,19
Other Income,31.0,45.0,45.0,40.0,56.0,66.0,55.0,48.0,63.0,60.0,72.0,92.0,113
Interest,2.0,2.0,1.0,2.0,3.0,2.0,11.0,8.0,4.0,6.0,5.0,5.0,4
Depreciation,23.0,30.0,43.0,49.0,66.0,64.0,138.0,148.0,159.0,194.0,197.0,206.0,215
Profit before tax,261.0,233.0,185.0,232.0,294.0,299.0,589.0,632.0,534.0,397.0,843.0,1177.0,1237
Tax %,33.0,32.0,34.0,34.0,33.0,35.0,34.0,34.0,31.0,27.0,25.0,25.0,
Net Profit,176.0,159.0,122.0,153.0,197.0,195.0,388.0,420.0,368.0,291.0,629.0,879.0,923
EPS in Rs,21.18,19.16,14.66,18.4,23.76,23.47,46.75,26.86,23.52,18.62,40.25,56.25,59.02
