,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,295.0,290.0,278.0,267.0,343.0,394.0,376.0,395.0,458.0,396.0,571.0,564.0,494
Expenses,261.0,251.0,244.0,240.0,298.0,350.0,321.0,340.0,401.0,343.0,487.0,498.0,435
Operating Profit,34.0,39.0,35.0,27.0,45.0,44.0,55.0,55.0,57.0,52.0,84.0,66.0,59
OPM %,11.0,13.0,12.0,10.0,13.0,11.0,15.0,14.0,12.0,13.0,15.0,12.0,12
Other Income,10.0,9.0,10.0,23.0,13.0,31.0,24.0,22.0,9.0,46.0,22.0,11.0,27
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
Depreciation,4.0,5.0,6.0,6.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,6
Profit before tax,39.0,42.0,38.0,42.0,51.0,66.0,74.0,72.0,62.0,93.0,102.0,71.0,80
Tax %,25.0,26.0,30.0,18.0,28.0,26.0,27.0,30.0,22.0,19.0,22.0,24.0,
Net Profit,29.0,31.0,27.0,35.0,36.0,49.0,54.0,50.0,48.0,76.0,79.0,54.0,63
EPS in Rs,42.46,45.16,39.41,50.85,53.63,72.76,83.2,77.6,74.41,120.83,131.88,90.51,104.73
