,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10505.0,9771.0,10101.0,8573.0,10818.0,14071.0,16056
Expenses,9732.0,9151.0,9302.0,7949.0,9965.0,12906.0,14836
Operating Profit,774.0,620.0,799.0,624.0,853.0,1165.0,1220
OPM %,7.0,6.0,8.0,7.0,8.0,8.0,8
Other Income,32.0,42.0,80.0,45.0,38.0,5.0,13
Interest,390.0,418.0,419.0,405.0,360.0,353.0,321
Depreciation,202.0,224.0,239.0,225.0,232.0,245.0,256
Profit before tax,214.0,21.0,221.0,39.0,299.0,572.0,656
Tax %,34.0,123.0,36.0,115.0,25.0,24.0,
Net Profit,141.0,-5.0,142.0,-6.0,224.0,432.0,497
EPS in Rs,1.7,-0.04,1.7,-0.06,2.18,4.2,4.83
