,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,306.0,395.0,452.0,346.0,355.0,584.0,684.0,695
Expenses,254.0,334.0,385.0,296.0,312.0,504.0,615.0,633
Operating Profit,52.0,61.0,67.0,50.0,43.0,80.0,69.0,62
OPM %,17.0,15.0,15.0,15.0,12.0,14.0,10.0,9
Other Income,2.0,2.0,2.0,3.0,7.0,7.0,8.0,9
Interest,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2
Depreciation,5.0,8.0,10.0,11.0,13.0,14.0,19.0,21
Profit before tax,46.0,52.0,56.0,40.0,36.0,71.0,56.0,48
Tax %,34.0,30.0,27.0,11.0,20.0,22.0,33.0,
Net Profit,30.0,37.0,41.0,36.0,29.0,56.0,37.0,34
EPS in Rs,10.0,12.09,13.3,11.58,9.26,18.01,11.77,10.83
