,Mar 2012,Mar 2013,Mar 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0,0,278.0,292.0,349.0,466.0,321.0,143.0,0.0,0,0,78
Expenses,27.0,32,15,253.0,258.0,310.0,411.0,308.0,151.0,29.0,31,25,100
Operating Profit,-27.0,-32,-15,25.0,34.0,39.0,55.0,13.0,-8.0,-29.0,-31,-25,-21
OPM %,-135100.0,,,9.0,12.0,11.0,12.0,4.0,-5.0,-29240.0,,,-27
Other Income,57.0,5,3,-36.0,3.0,2.0,45.0,-38.0,1.0,1.0,-1,972,987
Interest,9.0,6,8,62.0,74.0,105.0,127.0,108.0,122.0,130.0,158,16,-36
Depreciation,1.0,1,2,25.0,30.0,40.0,45.0,47.0,48.0,48.0,47,47,49
Profit before tax,21.0,-34,-22,-99.0,-67.0,-104.0,-72.0,-181.0,-177.0,-205.0,-236,884,952
Tax %,53.0,39,-253,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0,-7,
Net Profit,10.0,-21,-78,-99.0,-67.0,-103.0,-71.0,-180.0,-168.0,-205.0,-236,950,1039
EPS in Rs,0.33,-0.70,-2.66,-3.37,-2.28,-3.51,-2.42,-6.14,-5.73,-6.99,-8.05,103.03,116.98
