,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,168.0,128.0,78.0,59.0,48.0,26.0,49.0,265.0,202.0,114.0,156.0,559.0,625
Expenses,80.0,61.0,103.0,68.0,45.0,24.0,18.0,77.0,77.0,59.0,77.0,247.0,252
Operating Profit,88.0,67.0,-25.0,-9.0,3.0,1.0,31.0,188.0,125.0,55.0,78.0,312.0,373
OPM %,52.0,52.0,-32.0,-16.0,6.0,5.0,63.0,71.0,62.0,48.0,50.0,56.0,60
Other Income,25.0,-564.0,6.0,-1156.0,20.0,48.0,16.0,15.0,48.0,27.0,-23.0,-3.0,4
Interest,11.0,11.0,14.0,15.0,5.0,0.0,1.0,2.0,6.0,6.0,9.0,38.0,37
Depreciation,56.0,88.0,103.0,39.0,12.0,10.0,8.0,44.0,29.0,23.0,26.0,74.0,83
Profit before tax,47.0,-595.0,-136.0,-1219.0,6.0,40.0,38.0,157.0,137.0,52.0,20.0,197.0,258
Tax %,26.0,7.0,9.0,-0.0,11.0,10.0,0.0,0.0,-0.0,-3.0,-2.0,2.0,
Net Profit,35.0,-553.0,-124.0,-1220.0,5.0,36.0,38.0,157.0,138.0,53.0,20.0,194.0,253
EPS in Rs,2.65,-42.35,-9.48,-93.46,0.38,2.76,2.88,12.01,10.4,4.04,1.51,14.67,19.15
