,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,107.0,127.0,173.0,252.0,239.0,402.0,540.0,649.0,863.0,1061.0,1269.0,1467.0,1567
Expenses,96.0,105.0,137.0,192.0,175.0,276.0,345.0,417.0,603.0,732.0,874.0,1025.0,1069
Operating Profit,11.0,22.0,36.0,60.0,64.0,125.0,195.0,232.0,260.0,329.0,395.0,442.0,497
OPM %,10.0,18.0,21.0,24.0,27.0,31.0,36.0,36.0,30.0,31.0,31.0,30.0,32
Other Income,3.0,2.0,4.0,3.0,4.0,10.0,13.0,19.0,41.0,23.0,38.0,55.0,58
Interest,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1
Depreciation,1.0,2.0,4.0,8.0,7.0,13.0,19.0,23.0,32.0,37.0,47.0,45.0,46
Profit before tax,11.0,22.0,36.0,53.0,60.0,121.0,188.0,227.0,269.0,314.0,386.0,451.0,509
Tax %,28.0,37.0,27.0,23.0,24.0,21.0,23.0,22.0,20.0,20.0,20.0,16.0,
Net Profit,8.0,14.0,26.0,41.0,46.0,96.0,145.0,177.0,215.0,251.0,308.0,377.0,419
EPS in Rs,1.06,1.85,3.42,5.43,6.05,12.65,19.15,23.35,28.42,32.03,39.56,49.57,55.04
