,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3620.0,3791.0,4358.0,4193.0,5165.0,7859.0,13341.0,14780
Expenses,3241.0,3367.0,3916.0,3733.0,4616.0,7175.0,12525.0,14100
Operating Profit,379.0,424.0,442.0,460.0,549.0,684.0,816.0,680
OPM %,10.0,11.0,10.0,11.0,11.0,9.0,6.0,5
Other Income,53.0,20.0,39.0,35.0,12.0,26.0,76.0,105
Interest,242.0,159.0,159.0,192.0,111.0,86.0,291.0,355
Depreciation,58.0,62.0,70.0,72.0,83.0,90.0,175.0,195
Profit before tax,131.0,224.0,251.0,230.0,367.0,534.0,426.0,235
Tax %,34.0,33.0,37.0,16.0,39.0,26.0,29.0,
Net Profit,87.0,151.0,159.0,194.0,223.0,398.0,304.0,160
EPS in Rs,151.03,261.69,276.39,337.21,388.32,6.91,3.73,1.97
