,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.64,3.81,0.72,1.34,0.93,1.24,1.08,1.02,0.63,0.5,0.74,0.7,1.08
Expenses,11.67,3.76,0.65,0.76,0.45,0.43,0.92,0.7,1.57,0.3,0.65,0.54,0.51
Operating Profit,-0.03,0.05,0.07,0.58,0.48,0.81,0.16,0.32,-0.94,0.2,0.09,0.16,0.57
OPM %,-0.26,1.31,9.72,43.28,51.61,65.32,14.81,31.37,-149.21,40.0,12.16,22.86,52.78
Other Income,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.43,0.02,0.00
Interest,0.0,0.0,0.0,0.32,0.22,0.18,0.03,0.02,0.72,0.01,0.01,0.0,0.00
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.04,0.02,0.02,0.01,0.01
Profit before tax,-0.03,0.09,0.07,0.26,0.26,0.63,0.05,0.24,-1.7,0.17,1.49,0.17,0.56
Tax %,0.0,0.0,57.14,34.62,30.77,28.57,40.0,20.83,19.41,-64.71,16.78,35.29,
Net Profit,-0.03,0.08,0.02,0.18,0.18,0.44,0.03,0.19,-1.37,0.28,1.24,0.11,0.49
EPS in Rs,-0.04,0.11,0.03,0.02,0.02,0.05,0.0,0.02,-0.17,0.03,0.15,0.01,0.06
