,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.0,20.0,61.0,108.0,195.0,298.0,338.0,356
Expenses,22.0,51.0,78.0,99.0,150.0,251.0,252.0,248
Operating Profit,-15.0,-32.0,-17.0,10.0,45.0,47.0,87.0,107
OPM %,-199.0,-161.0,-28.0,9.0,23.0,16.0,26.0,30
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Interest,1.0,1.0,7.0,15.0,21.0,23.0,21.0,21
Depreciation,0.0,1.0,1.0,4.0,5.0,5.0,9.0,9
Profit before tax,-16.0,-33.0,-25.0,-10.0,20.0,18.0,58.0,78
Tax %,29.0,24.0,25.0,18.0,26.0,26.0,25.0,
Net Profit,-12.0,-25.0,-19.0,-8.0,15.0,14.0,44.0,59
EPS in Rs,-3.3,-9.92,-7.43,-3.1,5.76,4.67,14.22,19.24
