,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,325.0,356.0,442.0,456.0,387.0,577.0,789.0,901
Expenses,320.0,342.0,413.0,402.0,345.0,507.0,669.0,770
Operating Profit,5.0,14.0,29.0,53.0,42.0,71.0,119.0,131
OPM %,2.0,4.0,7.0,12.0,11.0,12.0,15.0,15
Other Income,1.0,2.0,2.0,6.0,17.0,13.0,15.0,18
Interest,11.0,7.0,8.0,24.0,20.0,21.0,20.0,14
Depreciation,4.0,4.0,5.0,35.0,32.0,31.0,35.0,41
Profit before tax,-8.0,5.0,18.0,1.0,6.0,31.0,80.0,94
Tax %,28.0,23.0,39.0,98.0,26.0,25.0,25.0,
Net Profit,-6.0,4.0,11.0,0.0,5.0,23.0,60.0,70
EPS in Rs,-4.61,2.51,6.63,0.02,2.55,12.24,25.61,30.01
