,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,157.0,169.0,208.0,166.0,224.0,317.0,425.0,354
Expenses,0.0,139.0,144.0,178.0,145.0,200.0,287.0,383.0,313
Operating Profit,-0.0,18.0,25.0,30.0,21.0,24.0,30.0,42.0,42
OPM %,-22.0,11.0,15.0,14.0,13.0,11.0,9.0,10.0,12
Other Income,0.0,0.0,1.0,2.0,2.0,1.0,8.0,1.0,1
Interest,0.0,7.0,6.0,8.0,7.0,8.0,9.0,9.0,10
Depreciation,0.0,5.0,6.0,6.0,8.0,8.0,11.0,12.0,12
Profit before tax,0.0,7.0,14.0,18.0,8.0,9.0,18.0,22.0,21
Tax %,33.0,35.0,21.0,20.0,27.0,31.0,20.0,27.0,
Net Profit,0.0,4.0,11.0,14.0,6.0,6.0,14.0,16.0,16
EPS in Rs,0.03,0.63,1.26,1.59,0.63,0.66,1.63,1.67,1.38
