,Sep 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,305.0,129.0,322.0,175.0,235.0,215.0,184.0,172.0,149.0,121.0,178.0,230.0,197
Expenses,538.0,144.0,382.0,190.0,251.0,259.0,203.0,176.0,152.0,127.0,172.0,217.0,186
Operating Profit,-233.0,-15.0,-60.0,-15.0,-16.0,-43.0,-20.0,-4.0,-3.0,-5.0,5.0,14.0,11
OPM %,-76.0,-12.0,-19.0,-8.0,-7.0,-20.0,-11.0,-3.0,-2.0,-4.0,3.0,6.0,6
Other Income,3.0,4.0,88.0,8.0,4.0,1.0,-34.0,4.0,3.0,3.0,17.0,2.0,4
Interest,69.0,28.0,37.0,4.0,4.0,34.0,22.0,39.0,48.0,47.0,47.0,51.0,52
Depreciation,41.0,12.0,25.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,4
Profit before tax,-341.0,-52.0,-35.0,-13.0,-19.0,-80.0,-78.0,-42.0,-52.0,-53.0,-29.0,-40.0,-40
Tax %,4.0,-6.0,62.0,-194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-328.0,-55.0,-13.0,-39.0,-19.0,-80.0,-78.0,-42.0,-52.0,-53.0,-29.0,-40.0,-40
EPS in Rs,-68.27,-11.51,-2.78,-8.13,-3.89,-16.71,-16.34,-8.65,-10.93,-11.04,-5.96,-8.31,-8.40
