,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5157.0,6094.0,7052.0,6793.0,7489.0,9318.0,10586.0,10912
Expenses,4429.0,5105.0,6134.0,5493.0,6028.0,7814.0,9375.0,9540
Operating Profit,728.0,989.0,918.0,1301.0,1460.0,1504.0,1211.0,1371
OPM %,14.0,16.0,13.0,19.0,20.0,16.0,11.0,13
Other Income,11.0,54.0,54.0,33.0,34.0,35.0,-393.0,-384
Interest,231.0,425.0,457.0,419.0,664.0,570.0,512.0,545
Depreciation,313.0,392.0,498.0,528.0,794.0,918.0,951.0,948
Profit before tax,196.0,226.0,17.0,387.0,36.0,51.0,-645.0,-506
Tax %,16.0,30.0,260.0,36.0,171.0,37.0,102.0,
Net Profit,166.0,158.0,-26.0,249.0,-26.0,32.0,16.0,142
EPS in Rs,3.63,10.54,-1.32,10.28,-0.82,0.9,0.44,3.96
