,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,598.0,696.0,770.0,904.0,666.0,616.0,1010.0,1179.0,1239
Expenses,489.0,543.0,609.0,703.0,544.0,507.0,781.0,918.0,969
Operating Profit,109.0,153.0,161.0,201.0,121.0,109.0,229.0,261.0,270
OPM %,18.0,22.0,21.0,22.0,18.0,18.0,23.0,22.0,22
Other Income,2.0,9.0,7.0,7.0,9.0,3.0,11.0,19.0,13
Interest,58.0,55.0,50.0,42.0,32.0,12.0,20.0,10.0,6
Depreciation,22.0,23.0,23.0,25.0,27.0,25.0,26.0,27.0,28
Profit before tax,32.0,84.0,95.0,141.0,72.0,75.0,194.0,243.0,250
Tax %,22.0,9.0,22.0,58.0,27.0,-16.0,32.0,19.0,
Net Profit,25.0,77.0,74.0,59.0,53.0,87.0,132.0,198.0,195
EPS in Rs,10.26,31.9,30.69,24.62,22.08,36.26,48.43,72.74,71.45
