,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,194,206,199,189,194,218,202,184,146,117,104,93
Borrowings,16,18,15,17,11,7,3,0,9,19,18,11
Other Liabilities,150,93,103,95,104,82,96,66,66,41,43,62
Total Liabilities,366,323,323,307,315,313,306,256,227,183,170,172
Fixed Assets,80,73,64,59,54,120,101,97,95,93,92,90
CWIP,1,0,0,0,0,0,0,0,0,0,0,0
Investments,37,36,36,25,28,60,48,11,0,0,0,0
Other Assets,248,215,223,223,233,132,158,148,131,90,78,82
Total Assets,366,323,323,307,315,313,306,256,227,183,170,172
