,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,446.0,372.0,306.0,259.0,316.0,258.0,185.0,251.0,121.0,30.0,46.0,80.0
Expenses,389.0,344.0,297.0,264.0,303.0,261.0,200.0,265.0,151.0,45.0,59.0,94.0
Operating Profit,57.0,28.0,9.0,-5.0,13.0,-3.0,-15.0,-14.0,-30.0,-16.0,-13.0,-15.0
OPM %,13.0,7.0,3.0,-2.0,4.0,-1.0,-8.0,-6.0,-25.0,-53.0,-28.0,-19.0
Other Income,-52.0,4.0,-6.0,6.0,3.0,-24.0,10.0,3.0,0.0,-8.0,2.0,8.0
Interest,4.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0
Depreciation,13.0,12.0,12.0,8.0,7.0,6.0,5.0,4.0,2.0,2.0,1.0,1.0
Profit before tax,-11.0,17.0,-12.0,-10.0,6.0,-34.0,-12.0,-17.0,-34.0,-28.0,-14.0,-11.0
Tax %,-150.0,36.0,32.0,-4.0,-11.0,-5.0,-17.0,3.0,-3.0,-2.0,1.0,-3.0
Net Profit,-27.0,11.0,-8.0,-10.0,6.0,-35.0,-14.0,-16.0,-35.0,-29.0,-14.0,-11.0
EPS in Rs,-8.74,3.61,-2.64,-3.26,2.1,-11.63,-4.69,-5.37,-11.61,-9.44,-4.59,-3.63
