,2020-03-01,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01
Sales,35.05,3.75,3.76,6.18,16.0,4.45,16.15,12.93,12.52,6.02,25.43,13.02,35.1
Expenses,42.84,7.55,9.99,9.69,18.13,8.06,19.05,16.52,15.23,10.37,28.17,19.68,36.37
Operating Profit,-7.79,-3.8,-6.23,-3.51,-2.13,-3.61,-2.9,-3.59,-2.71,-4.35,-2.74,-6.66,-1.27
OPM %,-22.23,-101.33,-165.69,-56.8,-13.31,-81.12,-17.96,-27.76,-21.65,-72.26,-10.77,-51.15,-3.62
Other Income,0.81,0.76,-9.41,-1.03,1.33,0.7,0.66,-0.54,1.56,0.08,0.36,7.79,0.18
Interest,0.61,0.45,0.72,0.65,0.66,0.61,0.58,0.6,0.59,0.68,0.64,0.76,0.64
Depreciation,0.54,0.47,0.45,0.41,0.37,0.36,0.34,0.33,0.32,0.32,0.39,0.36,0.32
Profit before tax,-8.13,-3.96,-16.81,-5.6,-1.83,-3.88,-3.16,-5.06,-2.06,-5.27,-3.41,0.01,-2.05
Tax %,1.11,-0.25,-0.71,-1.07,-16.39,-1.55,-0.95,11.86,-14.56,-2.85,-2.64,800.0,0.49
Net Profit,-8.04,-3.97,-16.93,-5.66,-2.13,-3.94,-3.19,-4.46,-2.36,-5.42,-3.5,-0.07,-2.04
EPS in Rs,-2.64,-1.31,-5.57,-1.86,-0.7,-1.3,-1.05,-1.47,-0.78,-1.78,-1.15,-0.02,-0.67
