,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,332.0,383.0,332.0,411.0,474.0,315.0,413.0,436.0,470.0,503.0,629.0,725.0,778
Expenses,316.0,342.0,342.0,394.0,432.0,307.0,366.0,410.0,369.0,397.0,512.0,624.0,675
Operating Profit,16.0,41.0,-11.0,18.0,41.0,8.0,48.0,27.0,101.0,106.0,117.0,101.0,103
OPM %,5.0,11.0,-3.0,4.0,9.0,3.0,12.0,6.0,21.0,21.0,19.0,14.0,13
Other Income,5.0,21.0,-8.0,7.0,3.0,12.0,6.0,5.0,2.0,6.0,4.0,7.0,8
Interest,1.0,1.0,3.0,7.0,13.0,11.0,11.0,4.0,2.0,2.0,1.0,1.0,2
Depreciation,10.0,10.0,13.0,14.0,26.0,22.0,23.0,24.0,25.0,27.0,31.0,35.0,36
Profit before tax,9.0,51.0,-35.0,4.0,5.0,-14.0,21.0,3.0,77.0,83.0,88.0,71.0,73
Tax %,0.0,19.0,-2.0,0.0,0.0,35.0,35.0,38.0,26.0,35.0,37.0,19.0,
Net Profit,9.0,41.0,-36.0,4.0,5.0,-9.0,13.0,2.0,56.0,54.0,55.0,58.0,59
EPS in Rs,0.67,2.92,-2.51,0.26,0.37,-0.64,0.95,0.15,3.99,3.79,3.84,3.97,4.08
