,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,783.0,742.0,903.0,1162.0,1131.0,1408.0,1704.0,1830
Expenses,649.0,620.0,755.0,932.0,869.0,1035.0,1222.0,1309
Operating Profit,134.0,122.0,148.0,230.0,262.0,373.0,482.0,521
OPM %,17.0,16.0,16.0,20.0,23.0,26.0,28.0,28
Other Income,7.0,15.0,18.0,6.0,14.0,13.0,27.0,20
Interest,5.0,1.0,0.0,7.0,8.0,14.0,19.0,18
Depreciation,21.0,21.0,26.0,48.0,58.0,88.0,124.0,133
Profit before tax,115.0,116.0,140.0,181.0,211.0,285.0,365.0,391
Tax %,35.0,34.0,35.0,30.0,28.0,25.0,25.0,
Net Profit,75.0,76.0,91.0,128.0,152.0,213.0,275.0,291
EPS in Rs,5.04,5.15,6.16,8.63,10.25,13.94,17.84,18.77
