,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,39.0,38.0,31.0,26.0,34.0,36.0,20.0,8.0,15.0,7.0,8.0,29.0,30
Expenses,21.0,18.0,11.0,5.0,21.0,14.0,15.0,16.0,10.0,26.0,3.0,12.0,14
Operating Profit,18.0,20.0,20.0,21.0,13.0,21.0,5.0,-7.0,5.0,-19.0,5.0,17.0,16
OPM %,46.0,53.0,64.0,83.0,39.0,59.0,24.0,-87.0,33.0,-287.0,57.0,58.0,53
Other Income,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0
Interest,3.0,3.0,4.0,5.0,9.0,6.0,9.0,3.0,4.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,15.0,18.0,16.0,17.0,6.0,15.0,-3.0,-8.0,3.0,-20.0,4.0,17.0,16
Tax %,34.0,32.0,32.0,34.0,47.0,15.0,48.0,-13.0,75.0,28.0,39.0,25.0,
Net Profit,10.0,12.0,11.0,11.0,3.0,13.0,-2.0,-9.0,1.0,-14.0,3.0,12.0,12
EPS in Rs,3.85,4.64,4.13,4.25,0.96,4.83,-0.7,-3.31,0.24,-5.47,1.03,4.82,4.72
