,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1165.0,1198.0,1157.0,1578.0,1329.0,1279.0,1325.0,1342.0,1085.0,1107.0,1343.0,1634.0,1656
Expenses,1017.0,1092.0,1012.0,1390.0,1152.0,1064.0,1097.0,1115.0,953.0,979.0,1177.0,1423.0,1429
Operating Profit,147.0,106.0,145.0,189.0,178.0,215.0,228.0,227.0,132.0,128.0,166.0,211.0,227
OPM %,13.0,9.0,13.0,12.0,13.0,17.0,17.0,17.0,12.0,12.0,12.0,13.0,14
Other Income,3.0,0.0,5.0,18.0,18.0,11.0,11.0,14.0,11.0,-33.0,7.0,18.0,25
Interest,23.0,27.0,25.0,33.0,26.0,17.0,7.0,6.0,4.0,3.0,5.0,5.0,4
Depreciation,57.0,65.0,69.0,93.0,78.0,79.0,77.0,86.0,93.0,84.0,87.0,84.0,83
Profit before tax,70.0,14.0,56.0,79.0,91.0,130.0,155.0,149.0,47.0,8.0,81.0,141.0,165
Tax %,32.0,87.0,36.0,36.0,40.0,36.0,38.0,36.0,17.0,37.0,27.0,24.0,
Net Profit,48.0,2.0,36.0,51.0,55.0,84.0,96.0,96.0,39.0,5.0,59.0,107.0,125
EPS in Rs,7.11,-1.21,4.88,7.1,8.56,15.05,15.88,15.71,5.84,0.1,9.71,18.13,21.26
