,Sep 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4101.0,4049.0,6502.0,4113.0,3432.0,4145.0,5059.0,6262.0,5810.0,7014.0,7283.0,8429.0,8920
Expenses,3817.0,3860.0,6115.0,4039.0,3271.0,3878.0,4506.0,5539.0,5149.0,5888.0,6317.0,7659.0,7919
Operating Profit,284.0,190.0,387.0,73.0,161.0,268.0,553.0,723.0,661.0,1126.0,966.0,770.0,1001
OPM %,7.0,5.0,6.0,2.0,5.0,6.0,11.0,12.0,11.0,16.0,13.0,9.0,11
Other Income,-55.0,50.0,87.0,124.0,31.0,36.0,58.0,99.0,88.0,160.0,174.0,228.0,372
Interest,71.0,97.0,112.0,58.0,51.0,32.0,29.0,20.0,17.0,13.0,15.0,13.0,14
Depreciation,48.0,50.0,86.0,69.0,58.0,63.0,73.0,87.0,107.0,118.0,132.0,150.0,157
Profit before tax,110.0,92.0,275.0,70.0,82.0,208.0,509.0,715.0,625.0,1155.0,993.0,835.0,1203
Tax %,-14.0,20.0,10.0,-8.0,15.0,37.0,32.0,33.0,25.0,25.0,26.0,24.0,
Net Profit,125.0,73.0,247.0,76.0,70.0,131.0,347.0,478.0,472.0,872.0,736.0,637.0,910
EPS in Rs,11.97,6.99,20.13,6.23,5.76,10.71,28.31,39.07,38.53,64.63,55.82,48.26,76.56
