,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,986.0,1024.0,1116.0,1129.0,1148.0,1239.0,1336.0,1567.0,1422.0,1533.0,1958.0,2332.0,2592
Expenses,864.0,905.0,951.0,1027.0,1002.0,1096.0,1157.0,1405.0,1300.0,1354.0,1686.0,1966.0,2135
Operating Profit,122.0,119.0,165.0,102.0,146.0,144.0,179.0,161.0,122.0,178.0,272.0,366.0,458
OPM %,12.0,12.0,15.0,9.0,13.0,12.0,13.0,10.0,9.0,12.0,14.0,16.0,18
Other Income,10.0,9.0,9.0,53.0,11.0,32.0,18.0,10.0,25.0,9.0,5.0,14.0,24
Interest,8.0,16.0,19.0,8.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,13.0,21
Depreciation,21.0,29.0,32.0,34.0,35.0,33.0,28.0,29.0,33.0,34.0,48.0,56.0,64
Profit before tax,102.0,83.0,122.0,113.0,119.0,141.0,167.0,138.0,111.0,150.0,224.0,311.0,396
Tax %,25.0,26.0,26.0,22.0,25.0,31.0,30.0,50.0,31.0,24.0,32.0,24.0,
Net Profit,77.0,61.0,90.0,88.0,90.0,97.0,117.0,69.0,77.0,114.0,152.0,236.0,284
EPS in Rs,10.7,8.57,12.56,12.26,12.57,13.59,16.33,9.66,10.71,15.9,21.31,32.94,39.73
