,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,0.03,0.02,0.41,1.37,1.33,1.21,0.36,0.33,0.3,0.35,0.43,0.58
Expenses,0.03,0.03,0.41,1.29,1.25,1.17,0.27,0.29,0.29,0.32,0.36,0.54
Operating Profit,0.00,-0.01,0.0,0.08,0.08,0.04,0.09,0.04,0.01,0.03,0.07,0.04
OPM %,0.00,-50.00,0.0,5.84,6.02,3.31,25.0,12.12,3.33,8.57,16.28,6.90
Other Income,0.00,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Interest,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.00
Depreciation,0.00,0.00,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.00
Profit before tax,0.00,0.00,0.02,0.08,0.08,0.04,0.08,0.03,0.01,0.03,0.03,0.04
Tax %,,,50.0,37.5,25.0,25.0,25.0,33.33,0.0,33.33,33.33,
Net Profit,0.00,0.00,0.02,0.05,0.05,0.02,0.06,0.03,0.0,0.02,0.02,0.03
EPS in Rs,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.00
