,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,284.0,413.0,334.0,307.0,237.0,247.0,376.0,414.0,510.0,437.0,533.0,533
Expenses,270.0,384.0,316.0,297.0,235.0,226.0,345.0,376.0,418.0,385.0,442.0,445
Operating Profit,14.0,28.0,17.0,10.0,2.0,22.0,31.0,38.0,93.0,52.0,91.0,88
OPM %,5.0,7.0,5.0,3.0,1.0,9.0,8.0,9.0,18.0,12.0,17.0,16
Other Income,3.0,5.0,4.0,7.0,2.0,4.0,5.0,9.0,10.0,13.0,20.0,19
Interest,7.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,7.0,6
Depreciation,6.0,9.0,13.0,11.0,8.0,6.0,4.0,6.0,7.0,9.0,10.0,10
Profit before tax,5.0,17.0,1.0,-4.0,-13.0,10.0,23.0,32.0,87.0,49.0,94.0,91
Tax %,22.0,38.0,240.0,23.0,25.0,-9.0,40.0,25.0,25.0,25.0,28.0,
Net Profit,4.0,11.0,-1.0,-3.0,-10.0,11.0,14.0,24.0,66.0,36.0,68.0,65
EPS in Rs,8.0,22.43,-2.15,-6.13,-21.36,24.36,29.17,50.3,126.15,70.17,129.81,124.64
