,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,223.0,248.0,341.0,480.0,649.0,716.0,885.0,819
Expenses,163.0,193.0,275.0,386.0,466.0,502.0,687.0,680
Operating Profit,60.0,55.0,65.0,94.0,183.0,214.0,198.0,139
OPM %,27.0,22.0,19.0,20.0,28.0,30.0,22.0,17
Other Income,2.0,3.0,5.0,10.0,6.0,13.0,13.0,15
Interest,6.0,4.0,6.0,5.0,3.0,7.0,6.0,5
Depreciation,3.0,4.0,4.0,5.0,6.0,8.0,11.0,13
Profit before tax,53.0,50.0,61.0,93.0,180.0,212.0,193.0,136
Tax %,33.0,35.0,28.0,24.0,25.0,25.0,25.0,
Net Profit,35.0,33.0,44.0,71.0,135.0,158.0,144.0,101
EPS in Rs,1113.42,1030.79,1379.83,2224.32,12.04,13.75,12.55,8.76
