,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.36,3.75,0.24,2.5,0.24,2.91,4.76,4.06,4.89
Expenses,3.87,3.59,0.72,2.46,0.55,2.52,3.74,3.64,3.93
Operating Profit,0.49,0.16,-0.48,0.04,-0.31,0.39,1.02,0.42,0.96
OPM %,11.24,4.27,-200.0,1.6,-129.17,13.4,21.43,10.34,19.63
Other Income,0.01,0.03,0.02,0.01,0.0,0.01,0.03,0.07,0.08
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.15,0.12,0.13,0.13,0.11,0.11,0.11,0.15,0.1
Profit before tax,0.35,0.07,-0.59,-0.08,-0.42,0.29,0.94,0.34,0.94
Tax %,25.71,28.57,0.0,0.0,-2.38,0.0,1.06,35.29,26.6
Net Profit,0.26,0.04,-0.59,-0.08,-0.43,0.29,0.94,0.22,0.69
EPS in Rs,1.98,0.31,-4.5,-0.61,-3.28,2.21,7.18,1.68,5.27
