,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,460.0,540.0,579.0,602.0,733.0,679.0,731.0,749.0,791.0,892.0,823.0,882.0,814
Expenses,404.0,503.0,523.0,566.0,718.0,629.0,686.0,718.0,761.0,847.0,797.0,873.0,827
Operating Profit,56.0,36.0,56.0,35.0,15.0,49.0,45.0,31.0,31.0,45.0,26.0,9.0,-13
OPM %,12.0,7.0,10.0,6.0,2.0,7.0,6.0,4.0,4.0,5.0,3.0,1.0,-2
Other Income,8.0,8.0,10.0,10.0,11.0,14.0,21.0,15.0,12.0,10.0,10.0,19.0,13
Interest,3.0,5.0,5.0,3.0,3.0,1.0,2.0,5.0,9.0,8.0,6.0,6.0,7
Depreciation,11.0,12.0,13.0,13.0,21.0,14.0,15.0,16.0,21.0,21.0,21.0,21.0,21
Profit before tax,50.0,27.0,49.0,29.0,3.0,49.0,49.0,26.0,13.0,26.0,9.0,3.0,-27
Tax %,26.0,27.0,31.0,23.0,526.0,32.0,35.0,63.0,-29.0,26.0,43.0,113.0,
Net Profit,37.0,20.0,33.0,22.0,-12.0,33.0,32.0,9.0,16.0,20.0,5.0,-0.0,-14
EPS in Rs,17.32,9.26,15.44,10.3,-5.62,15.34,14.69,4.39,7.56,9.04,2.44,-0.15,-6.47
