,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,163.0,231.0,130.0,267.0,238.0,250.0,314.0,385.0,182.0,70.0,231.0,86.0,51
Expenses,157.0,224.0,128.0,261.0,236.0,237.0,272.0,343.0,149.0,61.0,188.0,76.0,70
Operating Profit,6.0,7.0,3.0,7.0,2.0,13.0,42.0,42.0,33.0,9.0,42.0,10.0,-19
OPM %,4.0,3.0,2.0,3.0,1.0,5.0,13.0,11.0,18.0,12.0,18.0,11.0,-37
Other Income,1.0,1.0,1.0,0.0,3.0,1.0,2.0,-18.0,-15.0,0.0,5.0,0.0,0
Interest,1.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,6.0,10.0,8
Depreciation,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,5.0,6.0,2.0,3.0,2.0,13.0,42.0,20.0,14.0,4.0,40.0,0.0,-27
Tax %,28.0,6.0,12.0,11.0,17.0,7.0,17.0,71.0,15.0,68.0,32.0,-1475.0,
Net Profit,3.0,6.0,2.0,2.0,2.0,12.0,35.0,6.0,12.0,1.0,27.0,3.0,-26
EPS in Rs,0.62,1.11,0.3,0.22,0.17,1.04,2.69,0.36,0.94,0.14,2.26,0.21,-2.13
