,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,1.27,2.14,1.07,6.78,18.15,26.14,29.44,1.88,0.00,0.00,0.0
Expenses,0.0,2.83,2.34,2.28,8.98,20.17,28.13,31.76,4.23,0.76,0.92,0.96
Operating Profit,0.0,-1.56,-0.2,-1.21,-2.2,-2.02,-1.99,-2.32,-2.35,-0.76,-0.92,-0.96
OPM %,,-122.83,-9.35,-113.08,-32.45,-11.13,-7.61,-7.88,-125.0,,,
Other Income,0.0,1.18,1.49,1.79,2.0,2.24,2.0,2.57,2.2,3.94,1.60,1.33
Interest,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.00,0.01,0.0
Depreciation,0.0,0.17,0.25,0.26,0.19,0.12,0.03,0.01,0.0,0.00,0.01,0.0
Profit before tax,0.0,-0.56,1.04,0.31,-0.39,0.1,-0.02,0.24,-0.15,3.18,0.66,0.37
Tax %,,-3.57,12.5,25.81,5.13,0.0,0.0,12.5,0.0,25.16,33.33,
Net Profit,0.0,-0.58,0.91,0.23,-0.37,0.1,-0.02,0.21,-0.15,2.38,0.44,0.27
EPS in Rs,0.0,-0.37,0.59,0.15,-0.24,0.06,-0.01,0.14,-0.1,1.54,0.28,0.18
