,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.28,8.29,7.19,5.02,5.24,4.91,5.58,6.43,5.86,1.91,1.21,2.45,2.10
Expenses,9.82,8.26,7.66,5.31,5.32,5.01,5.92,6.58,5.55,2.28,1.33,2.36,1.98
Operating Profit,0.46,0.03,-0.47,-0.29,-0.08,-0.1,-0.34,-0.15,0.31,-0.37,-0.12,0.09,0.12
OPM %,4.47,0.36,-6.54,-5.78,-1.53,-2.04,-6.09,-2.33,5.29,-19.37,-9.92,3.67,5.71
Other Income,0.36,0.45,0.92,0.7,0.35,0.59,0.63,0.47,-0.64,-2.92,-0.04,0.01,0.02
Interest,0.03,0.04,0.03,0.01,0.01,0.0,0.01,0.0,0.05,0.04,0.0,0.01,0.02
Depreciation,0.56,0.42,0.4,0.31,0.23,0.03,0.04,0.04,0.1,0.08,0.0,0.02,0.00
Profit before tax,0.23,0.02,0.02,0.09,0.03,0.46,0.24,0.28,-0.48,-3.41,-0.16,0.07,0.12
Tax %,26.09,100.0,-200.0,66.67,33.33,26.09,20.83,10.71,-16.67,2.64,-37.5,14.29,
Net Profit,0.17,0.01,0.06,0.02,0.02,0.34,0.2,0.25,-0.56,-3.32,-0.23,0.06,0.08
EPS in Rs,0.55,0.03,0.19,0.06,0.06,1.1,0.65,0.81,-1.81,-10.71,-0.74,0.19,0.25
