,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,1.0,0.0,24.0,109.0,201.0,302.0,450.0,590.0,651.0,676
Expenses,1,3.0,1.0,22.0,85.0,154.0,230.0,338.0,422.0,465.0,479
Operating Profit,-1,-2.0,-1.0,2.0,23.0,48.0,72.0,112.0,168.0,186.0,198
OPM %,,-252.0,-194.0,10.0,21.0,24.0,24.0,25.0,28.0,29.0,29
Other Income,3,4.0,1.0,0.0,0.0,2.0,2.0,4.0,7.0,17.0,22
Interest,1,1.0,0.0,1.0,9.0,11.0,9.0,11.0,13.0,5.0,4
Depreciation,0,0.0,0.0,1.0,5.0,6.0,8.0,11.0,15.0,23.0,32
Profit before tax,0,0.0,0.0,1.0,9.0,33.0,57.0,94.0,146.0,174.0,183
Tax %,39,27.0,31.0,300.0,17.0,28.0,29.0,24.0,26.0,25.0,
Net Profit,0,0.0,0.0,-1.0,8.0,23.0,40.0,71.0,109.0,130.0,141
EPS in Rs,0.14,0.12,0.11,-1.27,9.08,27.27,46.68,70.43,9.67,10.47,10.96
