,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36
Reserves,6.16,9.0,7.73,8.52,8.8,8.97,9.17,10.95,11.94,12.86
Borrowings,5.02,5.41,6.35,4.34,6.59,8.76,9.76,12.07,13.97,22.58
Other Liabilities,0.74,1.35,1.78,2.0,1.76,3.63,5.73,5.16,3.94,3.07
Total Liabilities,15.28,19.12,19.22,18.22,20.51,24.72,28.02,31.54,33.21,41.87
Fixed Assets,4.41,4.38,4.47,4.42,4.96,5.67,5.09,5.46,5.35,5.44
CWIP,0.0,0.01,0.66,0.03,0.0,0.0,0.0,0.17,0.06,0.8200000000000001
Investments,2.5,5.27,5.34,5.36,5.24,5.1,5.21,6.07,6.13,6.23
Other Assets,8.37,9.46,8.75,8.41,10.31,13.95,17.72,19.84,21.67,29.38
Total Assets,15.28,19.12,19.22,18.22,20.51,24.72,28.02,31.54,33.21,41.87
