,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.0,77.0,108.0,142.0,142.0,216.0,330.0,368
Expenses,34.0,70.0,96.0,128.0,128.0,189.0,305.0,339
Operating Profit,2.0,7.0,12.0,15.0,15.0,27.0,24.0,30
OPM %,6.0,9.0,11.0,10.0,10.0,12.0,7.0,8
Other Income,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Interest,4.0,5.0,7.0,7.0,7.0,7.0,8.0,9
Depreciation,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4
Profit before tax,-2.0,1.0,4.0,6.0,6.0,17.0,14.0,18
Tax %,-9.0,9.0,3.0,37.0,37.0,24.0,26.0,
Net Profit,-2.0,1.0,4.0,4.0,4.0,13.0,10.0,13
EPS in Rs,-23.3,2.7,2.5,2.21,2.01,5.34,4.11,5.43
