,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,451,495,635,671,724,799,1911,2223,2423.0,2643.0,3060.0,3511.0,3032
Expenses,463,484,587,614,635,698,1691,1932,2088.0,2155.0,2458.0,2843.0,2562
Operating Profit,-12,10,48,57,89,101,219,291,335.0,488.0,603.0,668.0,470
OPM %,-3,2,8,8,12,13,11,13,14.0,18.0,20.0,19.0,16
Other Income,1,3,3,8,26,10,31,-0,-20.0,19.0,36.0,45.0,72
Interest,0,0,2,1,1,1,5,5,7.0,7.0,8.0,6.0,5
Depreciation,0,0,6,6,7,7,24,28,41.0,47.0,45.0,52.0,55
Profit before tax,-11,13,43,58,107,103,221,258,267.0,453.0,586.0,655.0,482
Tax %,0,0,23,40,40,40,34,35,23.0,24.0,26.0,23.0,
Net Profit,-11,13,33,35,65,62,145,167,206.0,345.0,434.0,503.0,369
EPS in Rs,,,,,,,,,4.12,6.92,8.69,10.09,7.39
