,Sep 2012,Sep 2013,Sep 2014,Sep 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,475.0,358.0,348.0,330.0,102.0,83.0,177.0,179.0,103.0,111.0,126.0,84.0,101
Expenses,496.0,328.0,336.0,336.0,114.0,101.0,188.0,190.0,128.0,123.0,134.0,99.0,120
Operating Profit,-21.0,30.0,12.0,-6.0,-13.0,-18.0,-11.0,-11.0,-25.0,-12.0,-8.0,-14.0,-19
OPM %,-4.0,8.0,4.0,-2.0,-13.0,-21.0,-6.0,-6.0,-24.0,-11.0,-6.0,-17.0,-18
Other Income,4.0,2.0,2.0,3.0,4.0,13.0,3.0,8.0,5.0,2.0,4.0,37.0,43
Interest,41.0,32.0,34.0,32.0,15.0,26.0,23.0,22.0,20.0,21.0,22.0,10.0,5
Depreciation,20.0,12.0,12.0,9.0,4.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6
Profit before tax,-78.0,-12.0,-31.0,-45.0,-28.0,-39.0,-37.0,-33.0,-48.0,-38.0,-31.0,6.0,13
Tax %,1.0,-14.0,7.0,3.0,7.0,20.0,-25.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-78.0,-13.0,-29.0,-43.0,-26.0,-31.0,-47.0,-33.0,-48.0,-38.0,-31.0,6.0,13
EPS in Rs,-117.01,-9.86,-39.7,-59.62,-37.82,-46.87,-58.38,-47.02,-68.52,-52.48,-44.37,8.35,19.97
