,Sep 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1705.0,1859.0,3153.0,2061.0,1915.0,2824.0,3370.0,3152.0,4437.0,4674.0,4291.0,5617.0,5652
Expenses,1543.0,1680.0,3083.0,2079.0,1789.0,2302.0,3094.0,2842.0,3893.0,4112.0,3655.0,4999.0,5008
Operating Profit,162.0,179.0,70.0,-18.0,126.0,522.0,276.0,309.0,543.0,562.0,636.0,618.0,644
OPM %,9.0,10.0,2.0,-1.0,7.0,18.0,8.0,10.0,12.0,12.0,15.0,11.0,11
Other Income,33.0,-47.0,45.0,30.0,41.0,-36.0,33.0,83.0,56.0,28.0,73.0,1496.0,83
Interest,96.0,124.0,187.0,122.0,115.0,127.0,85.0,68.0,79.0,52.0,55.0,57.0,49
Depreciation,81.0,82.0,119.0,59.0,59.0,57.0,55.0,57.0,75.0,79.0,81.0,93.0,99
Profit before tax,17.0,-73.0,-191.0,-169.0,-7.0,302.0,169.0,268.0,446.0,460.0,574.0,1964.0,579
Tax %,-28.0,29.0,8.0,10.0,1.0,16.0,29.0,19.0,25.0,36.0,26.0,9.0,
Net Profit,22.0,-52.0,-176.0,-152.0,-7.0,253.0,119.0,216.0,335.0,295.0,424.0,1792.0,434
EPS in Rs,0.86,-2.03,-6.84,-5.9,-0.28,9.81,4.62,8.38,13.52,12.19,17.54,81.86,19.20
