,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,141.0,186.0,133.0,140.0,165.0,193.0,169.0,208.0,367.0,493
Expenses,133.0,178.0,121.0,130.0,153.0,185.0,164.0,196.0,350.0,473
Operating Profit,8.0,8.0,12.0,10.0,11.0,8.0,5.0,12.0,17.0,20
OPM %,6.0,4.0,9.0,7.0,7.0,4.0,3.0,6.0,5.0,4
Other Income,1.0,-4.0,6.0,10.0,14.0,15.0,13.0,13.0,20.0,22
Interest,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,6.0,8
Depreciation,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,6.0,7
Profit before tax,7.0,2.0,16.0,18.0,24.0,19.0,11.0,18.0,25.0,26
Tax %,35.0,52.0,23.0,18.0,15.0,17.0,13.0,16.0,32.0,
Net Profit,4.0,1.0,12.0,15.0,21.0,15.0,10.0,15.0,17.0,16
EPS in Rs,17.0,3.73,46.58,58.5,79.06,58.91,36.8,56.95,65.07,60.60
