,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.22,3.44,0.48,0.49,0.22,0.69,0.9,0.98,0.87,0.77,0.77,0.84,0.72
Expenses,3.35,1.55,0.23,0.29,0.15,0.13,0.21,0.86,0.89,0.71,0.77,0.91,0.91
Operating Profit,1.87,1.89,0.25,0.2,0.07,0.56,0.69,0.12,-0.02,0.06,0.0,-0.07,-0.19
OPM %,35.82,54.94,52.08,40.82,31.82,81.16,76.67,12.24,-2.3,7.79,0.0,-8.33,-26.39
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.11
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.00
Depreciation,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,1.86,1.88,0.24,0.19,0.06,0.56,0.69,0.11,-0.02,0.06,0.01,-0.07,-0.08
Tax %,88.71,40.43,41.67,26.32,50.0,26.79,23.19,81.82,-50.0,33.33,100.0,0.0,
Net Profit,0.22,1.12,0.14,0.14,0.04,0.41,0.53,0.02,-0.03,0.04,0.0,-0.07,-0.08
EPS in Rs,0.69,3.5,0.44,0.44,0.12,1.28,1.66,0.06,-0.09,0.12,0.0,-0.22,-0.25
