,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,TTM
Sales,1297.0,1677.0,2051.0,2334.0,2275.0,2320.0,2455.0,2947.0,3002.0,3574.0,3901.0,3918.0,4011
Expenses,1097.0,1420.0,1628.0,1838.0,1667.0,1646.0,1834.0,2329.0,2396.0,2688.0,3069.0,3048.0,3072
Operating Profit,201.0,256.0,423.0,495.0,608.0,675.0,622.0,618.0,606.0,886.0,832.0,869.0,940
OPM %,15.0,15.0,21.0,21.0,27.0,29.0,25.0,21.0,20.0,25.0,21.0,22.0,23
Other Income,51.0,61.0,78.0,64.0,85.0,67.0,18.0,45.0,42.0,38.0,23.0,40.0,50
Interest,0.0,0.0,5.0,6.0,6.0,10.0,5.0,5.0,6.0,6.0,11.0,11.0,12
Depreciation,28.0,31.0,35.0,53.0,52.0,60.0,52.0,50.0,48.0,48.0,53.0,58.0,59
Profit before tax,223.0,286.0,460.0,501.0,636.0,672.0,582.0,607.0,594.0,870.0,790.0,839.0,918
Tax %,19.0,29.0,34.0,31.0,34.0,36.0,36.0,31.0,27.0,25.0,27.0,19.0,
Net Profit,181.0,203.0,302.0,346.0,422.0,433.0,375.0,419.0,433.0,652.0,576.0,678.0,734
EPS in Rs,55.85,62.6,93.04,106.63,130.16,133.31,115.4,129.12,133.42,200.79,177.37,208.91,226.25
