,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,699,294.0,132.0,46.0,243.0,15.0,1.0,1.0,48.0,380.0,601
Expenses,703,293.0,137.0,48.0,243.0,17.0,2.0,2.0,44.0,329.0,526
Operating Profit,-4,1.0,-5.0,-2.0,-1.0,-2.0,-2.0,-1.0,4.0,51.0,74
OPM %,-1,0.0,-4.0,-4.0,-0.0,-17.0,-311.0,-172.0,8.0,13.0,12
Other Income,0,-0.0,2.0,0.0,-5.0,-6.0,0.0,1.0,159.0,14.0,26
Interest,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,6
Depreciation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3
Profit before tax,-3,0.0,-5.0,-4.0,-6.0,-8.0,-2.0,-0.0,161.0,57.0,91
Tax %,0,11.0,-7.0,0.0,0.0,0.0,45.0,0.0,4.0,22.0,
Net Profit,-3,3.0,-3.0,-1.0,-4.0,-44.0,-1.0,1.0,154.0,68.0,102
EPS in Rs,,0.02,-0.02,-0.01,-0.03,-0.39,-0.0,0.01,1.19,0.38,0.59
