,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,22.72,101.92,103.66,116.93,42.33,0.00,0.37,0.39,0.22
Expenses,22.22,100.04,100.95,113.58,65.16,5.15,0.35,0.37,0.22
Operating Profit,0.5,1.88,2.71,3.35,-22.83,-5.15,0.02,0.02,0.0
OPM %,2.2,1.84,2.61,2.86,-53.93,,5.41,5.13,
Other Income,0.0,0.02,0.02,0.12,0.02,0.00,0.0,0.0,0.0
Interest,0.21,1.3,1.98,2.68,1.85,0.00,0.0,0.0,0.0
Depreciation,0.0,0.0,0.0,0.01,0.01,0.00,0.0,0.0,0.0
Profit before tax,0.29,0.6,0.75,0.78,-24.67,-5.15,0.02,0.02,0.0
Tax %,31.03,33.33,26.67,28.21,0.0,0.00,50.0,0.0,
Net Profit,0.2,0.4,0.54,0.57,-24.67,-5.15,0.02,0.02,0.0
EPS in Rs,2.0,4.0,0.51,0.54,-23.41,-4.89,0.02,0.02,0.0
