,2011-03-01,2012-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,1,1,1,1,1,1,3,3,3,3,3
Reserves,15,20,25,26,27,28,35,37,26,-41,-53
Borrowings,22,27,40,38,45,47,45,48,54,63,64
Other Liabilities,7,9,18,20,31,25,33,22,39,19,18
Total Liabilities,45,57,84,85,105,102,116,110,122,44,33
Fixed Assets,12,11,24,19,19,18,17,15,13,9,8
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,32,46,61,65,85,83,99,95,109,35,25
Total Assets,45,57,84,85,105,102,116,110,122,44,33
