,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,10,10,10,13,19,19,19,19,19,19
Reserves,32,46,48,49,73,109,101,101,103,111,116
Borrowings,50,44,62,60,51,49,43,25,33,39,57
Other Liabilities,34,29,26,33,43,35,22,19,34,86,67
Total Liabilities,123,129,146,152,180,211,184,164,189,255,260
Fixed Assets,19,17,16,15,13,24,29,37,40,47,48
CWIP,0,0,0,0,0,5,0,0,2,0,6
Investments,0,0,16,16,16,16,16,16,16,16,16
Other Assets,103,112,115,122,152,166,140,112,132,192,190
Total Assets,123,129,146,152,180,211,184,164,189,255,260
