,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,83.0,91.0,92.0,100.0,154.0,157.0,141.0,66.0,89.0,181.0,209
Expenses,73.0,79.0,84.0,91.0,133.0,136.0,126.0,57.0,78.0,163.0,187
Operating Profit,10.0,12.0,9.0,9.0,22.0,21.0,16.0,8.0,11.0,18.0,22
OPM %,12.0,13.0,9.0,9.0,14.0,13.0,11.0,13.0,12.0,10.0,10
Other Income,1.0,1.0,2.0,2.0,1.0,-6.0,-15.0,1.0,1.0,1.0,2
Interest,5.0,6.0,6.0,6.0,9.0,5.0,5.0,4.0,5.0,6.0,7
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,3.0,1
Profit before tax,4.0,5.0,3.0,3.0,12.0,8.0,-8.0,1.0,1.0,10.0,15
Tax %,32.0,33.0,34.0,86.0,32.0,39.0,2.0,6.0,-24.0,13.0,
Net Profit,3.0,3.0,2.0,0.0,8.0,5.0,-8.0,1.0,2.0,8.0,12
EPS in Rs,4.48,3.05,1.61,0.41,6.0,2.46,-4.25,0.49,0.85,4.46,6.53
