,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,157.0,170.0,240.0,322.0,287.0,486.0,549.0,559.0,576.0,841.0,840.0,758
Expenses,156.0,168.0,236.0,317.0,281.0,480.0,542.0,553.0,565.0,831.0,827.0,744
Operating Profit,1.0,2.0,5.0,5.0,5.0,7.0,6.0,6.0,11.0,10.0,13.0,14
OPM %,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2
Other Income,1.0,2.0,4.0,5.0,4.0,4.0,6.0,7.0,4.0,7.0,3.0,1
Interest,0.0,1.0,3.0,5.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,7
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Profit before tax,2.0,3.0,5.0,4.0,4.0,6.0,7.0,7.0,8.0,10.0,8.0,7
Tax %,22.0,20.0,32.0,31.0,31.0,33.0,33.0,34.0,31.0,27.0,25.0,
Net Profit,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,8.0,6.0,5
EPS in Rs,0.76,1.0,1.54,1.29,1.38,2.08,2.29,2.17,2.62,3.59,3.01,2.55
