,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01
Equity Capital,3,3,3,3,3,3,3,4,4,4,4,4
Reserves,37,38,51,41,45,26,14,12,0,-25,-65,-98
Preference Capital,0,0,0,6,10,10,10,10,0,10,10,10
Borrowings,193,207,199,168,140,145,181,179,181,156,150,148
Other Liabilities,48,48,73,94,125,90,66,71,69,83,105,126
Total Liabilities,280,296,326,306,314,264,264,266,254,219,194,181
Fixed Assets,106,185,180,178,169,157,146,137,129,34,31,28
CWIP,74,2,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,100,110,145,127,145,107,118,128,125,185,163,152
Total Assets,280,296,326,306,314,264,264,266,254,219,194,181
