,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.1,9.33,1.6,0.93,1.16,0.88,1.15,1.25,1.12,1.3,1.58,1.22,0.90
Expenses,10.63,9.51,8.97,1.7,1.88,1.54,0.95,1.02,1.04,1.15,1.57,1.1,0.94
Operating Profit,0.47,-0.18,-7.37,-0.77,-0.72,-0.66,0.2,0.23,0.08,0.15,0.01,0.12,-0.04
OPM %,4.23,-1.93,-460.62,-82.8,-62.07,-75.0,17.39,18.4,7.14,11.54,0.63,9.84,-4.44
Other Income,0.35,0.52,4.07,0.2,0.81,0.28,0.14,0.02,0.02,0.01,0.01,0.0,0.00
Interest,0.22,0.13,0.1,0.04,0.06,0.05,0.03,0.02,0.01,0.01,0.0,0.0,0.00
Depreciation,0.37,0.34,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.23,-0.13,-3.42,-0.62,0.03,-0.43,0.31,0.23,0.09,0.15,0.02,0.12,-0.04
Tax %,0.0,0.0,3.8,-22.58,66.67,-18.6,90.32,4.35,11.11,6.67,0.0,0.0,
Net Profit,0.23,-0.13,-3.29,-0.76,0.0,-0.51,0.03,0.22,0.08,0.14,0.01,0.12,-0.04
EPS in Rs,0.4,-0.23,-5.71,-1.32,0.0,-0.88,0.05,0.38,0.14,0.24,0.02,0.21,-0.06
