,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,512.0,567.0,664.0,918.0,1123.0,1330.0,1651.0,2198.0,2397
Expenses,403.0,450.0,593.0,833.0,872.0,953.0,1126.0,1598.0,1748
Operating Profit,109.0,118.0,71.0,85.0,251.0,377.0,524.0,599.0,649
OPM %,21.0,21.0,11.0,9.0,22.0,28.0,32.0,27.0,27
Other Income,5.0,3.0,37.0,6.0,5.0,9.0,27.0,52.0,17
Interest,37.0,32.0,88.0,49.0,44.0,37.0,22.0,37.0,35
Depreciation,36.0,35.0,40.0,56.0,71.0,70.0,73.0,129.0,134
Profit before tax,41.0,53.0,-20.0,-15.0,141.0,279.0,457.0,485.0,497
Tax %,32.0,37.0,-126.0,-223.0,18.0,26.0,25.0,25.0,
Net Profit,28.0,33.0,-46.0,-49.0,115.0,205.0,344.0,366.0,368
EPS in Rs,3.78,4.55,-6.61,-6.4,16.0,25.93,41.57,42.03,42.74
