,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1489.0,1461.0,1546.0,1564.0,1730.0,1512.0,1665.0,1912.0,1746.0,1792.0,2436.0,2928.0,2751
Expenses,1381.0,1370.0,1407.0,1408.0,1534.0,1312.0,1463.0,1747.0,1610.0,1575.0,2264.0,2721.0,2525
Operating Profit,108.0,91.0,139.0,156.0,196.0,200.0,202.0,164.0,136.0,217.0,172.0,207.0,226
OPM %,7.0,6.0,9.0,10.0,11.0,13.0,12.0,9.0,8.0,12.0,7.0,7.0,8
Other Income,13.0,21.0,30.0,29.0,38.0,33.0,37.0,38.0,35.0,23.0,23.0,16.0,16
Interest,5.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4
Depreciation,20.0,24.0,25.0,29.0,46.0,34.0,36.0,41.0,50.0,53.0,53.0,54.0,56
Profit before tax,96.0,85.0,142.0,154.0,184.0,196.0,199.0,158.0,117.0,183.0,138.0,165.0,182
Tax %,33.0,33.0,34.0,34.0,35.0,35.0,35.0,35.0,24.0,26.0,26.0,26.0,
Net Profit,65.0,56.0,94.0,101.0,120.0,127.0,130.0,102.0,89.0,136.0,103.0,123.0,135
EPS in Rs,28.0,24.42,40.78,43.89,51.92,55.22,56.34,44.25,38.51,59.07,44.61,53.26,58.62
