,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,146.0,175.0,167.0,164.0,63.0,81.0,83.0,88.0,92.0,137.0,192.0,220.0,207
Expenses,129.0,157.0,151.0,147.0,69.0,75.0,80.0,83.0,90.0,120.0,170.0,200.0,196
Operating Profit,17.0,18.0,16.0,17.0,-6.0,6.0,2.0,5.0,2.0,17.0,21.0,21.0,12
OPM %,12.0,10.0,9.0,10.0,-10.0,8.0,3.0,6.0,3.0,12.0,11.0,9.0,6
Other Income,2.0,2.0,2.0,0.0,18.0,1.0,2.0,5.0,4.0,3.0,7.0,6.0,7
Interest,3.0,4.0,4.0,5.0,3.0,1.0,0.0,1.0,2.0,3.0,6.0,7.0,9
Depreciation,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,9.0,11
Profit before tax,15.0,15.0,12.0,10.0,7.0,4.0,3.0,9.0,2.0,14.0,18.0,11.0,-1
Tax %,23.0,27.0,34.0,48.0,16.0,70.0,127.0,22.0,63.0,37.0,22.0,37.0,
Net Profit,12.0,12.0,8.0,5.0,6.0,1.0,-1.0,7.0,1.0,9.0,14.0,7.0,-2
EPS in Rs,10.5,10.68,7.18,4.58,5.51,1.22,-0.69,6.33,1.13,7.74,13.28,8.68,1.27
