,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,443.0,543.0,400.0,581.0,844.0,928.0,1234.0,1589.0,2635
Expenses,469.0,547.0,435.0,516.0,753.0,839.0,1082.0,1327.0,2246
Operating Profit,-27.0,-4.0,-35.0,65.0,91.0,89.0,152.0,262.0,390
OPM %,-6.0,-1.0,-9.0,11.0,11.0,10.0,12.0,16.0,15
Other Income,4.0,6.0,13.0,5.0,7.0,8.0,7.0,11.0,23
Interest,97.0,119.0,134.0,165.0,200.0,216.0,253.0,313.0,318
Depreciation,20.0,26.0,33.0,23.0,23.0,23.0,33.0,58.0,71
Profit before tax,-140.0,-143.0,-189.0,-118.0,-126.0,-141.0,-127.0,-97.0,24
Tax %,18.0,21.0,17.0,4.0,-8.0,4.0,-1.0,-10.0,
Net Profit,-114.0,-113.0,-157.0,-114.0,-136.0,-135.0,-129.0,-107.0,-19
EPS in Rs,-4440.0,-43.13,-61.0,-43.01,-52.89,-58.64,-55.96,-49.67,-25.22
