,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,201.0,369.0,423.0,387.0,627.0,875.0,750.0,900.0,391.0,527.0,551.0,920.0,1158
Expenses,216.0,322.0,328.0,319.0,514.0,711.0,597.0,704.0,478.0,473.0,631.0,906.0,1191
Operating Profit,-14.0,47.0,95.0,68.0,113.0,164.0,153.0,196.0,-87.0,53.0,-80.0,14.0,-33
OPM %,-7.0,13.0,22.0,18.0,18.0,19.0,20.0,22.0,-22.0,10.0,-15.0,2.0,-3
Other Income,7.0,-42.0,10.0,10.0,4.0,-22.0,28.0,37.0,34.0,25.0,43.0,81.0,80
Interest,40.0,36.0,46.0,47.0,49.0,32.0,13.0,17.0,8.0,4.0,3.0,15.0,21
Depreciation,45.0,48.0,56.0,49.0,38.0,56.0,61.0,66.0,77.0,52.0,77.0,122.0,145
Profit before tax,-93.0,-79.0,3.0,-18.0,29.0,54.0,106.0,150.0,-139.0,23.0,-117.0,-43.0,-120
Tax %,0.0,-0.0,0.0,0.0,0.0,-73.0,-0.0,2.0,-71.0,-67.0,46.0,15.0,
Net Profit,-93.0,-79.0,3.0,-18.0,29.0,93.0,107.0,147.0,-237.0,38.0,-63.0,-36.0,-66
EPS in Rs,-15.94,-13.56,0.48,-3.07,4.59,13.15,11.73,16.05,-25.71,4.03,-5.47,-2.16,-3.96
