,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6045.0,8962.0,90.0,114.0,87.0,103.0,103.0,92.0,132.0,110.0,140.0,157
Expenses,7183.0,8676.0,90.0,107.0,85.0,99.0,106.0,97.0,128.0,120.0,138.0,149
Operating Profit,-1138.0,286.0,0.0,7.0,2.0,3.0,-3.0,-6.0,3.0,-9.0,2.0,8
OPM %,-19.0,3.0,0.0,6.0,2.0,3.0,-3.0,-6.0,3.0,-9.0,1.0,5
Other Income,521.0,191.0,4.0,2.0,2.0,5.0,2.0,-4.0,2.0,1.0,8.0,11
Interest,126.0,138.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5
Depreciation,133.0,102.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2
Profit before tax,-876.0,237.0,1.0,6.0,0.0,5.0,-4.0,-16.0,-2.0,-15.0,2.0,12
Tax %,0.0,-2.0,13.0,3.0,-63.0,11.0,2.0,1.0,11.0,-0.0,11.0,
Net Profit,-876.0,243.0,1.0,6.0,0.0,4.0,-4.0,-15.0,-2.0,-16.0,2.0,12
EPS in Rs,-1412.35,391.97,1.4,6.27,0.48,4.85,-3.32,-23.19,-2.56,-21.15,3.95,17.64
