,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,543.0,564.0,602.0,652.0,700.0,822.0,911.0,925.0,887.0,792.0,1047.0,1343.0,1535
Expenses,446.0,466.0,489.0,552.0,574.0,670.0,745.0,777.0,766.0,714.0,947.0,1178.0,1288
Operating Profit,97.0,98.0,112.0,101.0,126.0,152.0,167.0,148.0,121.0,77.0,100.0,165.0,246
OPM %,18.0,17.0,19.0,15.0,18.0,18.0,18.0,16.0,14.0,10.0,10.0,12.0,16
Other Income,1.0,2.0,5.0,9.0,10.0,13.0,9.0,23.0,29.0,21.0,20.0,23.0,34
Interest,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Depreciation,15.0,16.0,18.0,19.0,23.0,27.0,30.0,28.0,27.0,26.0,27.0,30.0,34
Profit before tax,83.0,83.0,99.0,90.0,112.0,136.0,145.0,142.0,123.0,72.0,92.0,157.0,246
Tax %,33.0,33.0,34.0,34.0,35.0,35.0,35.0,35.0,31.0,26.0,26.0,26.0,
Net Profit,55.0,56.0,65.0,59.0,74.0,89.0,94.0,93.0,86.0,53.0,68.0,117.0,184
EPS in Rs,27.21,27.47,32.11,29.15,36.26,43.79,46.54,45.59,42.15,26.14,33.53,57.54,90.42
