,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.0,23.0,23.0,20.0,17.0,26.0,26.0,22.0,21.0,18.0,25.0,34.0,37
Expenses,16.0,11.0,11.0,11.0,9.0,11.0,15.0,16.0,12.0,8.0,18.0,20.0,20
Operating Profit,14.0,13.0,13.0,9.0,7.0,15.0,11.0,6.0,8.0,10.0,7.0,14.0,17
OPM %,46.0,55.0,54.0,45.0,44.0,56.0,41.0,28.0,40.0,53.0,27.0,41.0,46
Other Income,3.0,2.0,2.0,5.0,7.0,2.0,-17.0,1.0,6.0,2.0,2.0,-6.0,-7
Interest,5.0,4.0,5.0,6.0,7.0,7.0,8.0,7.0,5.0,2.0,2.0,2.0,5
Depreciation,8.0,8.0,10.0,8.0,8.0,14.0,10.0,9.0,9.0,9.0,7.0,7.0,7
Profit before tax,4.0,3.0,0.0,1.0,0.0,-3.0,-24.0,-10.0,0.0,0.0,0.0,-1.0,-1
Tax %,-12.0,1.0,62.0,55.0,-284.0,43.0,11.0,-28.0,14.0,15.0,13.0,-1560.0,
Net Profit,4.0,3.0,0.0,0.0,1.0,-2.0,-21.0,-12.0,0.0,0.0,0.0,-19.0,-18
EPS in Rs,0.33,0.26,0.01,0.02,0.06,-0.16,-1.67,-0.98,0.0,0.02,0.01,-1.79,-1.70
