,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1995.0,2070.0,2455.0,3161.0,2725.0,2429.0,3759.0,4516.0,4145
Expenses,1660.0,1622.0,1669.0,2046.0,2148.0,2072.0,2774.0,3568.0,3658
Operating Profit,335.0,448.0,786.0,1115.0,577.0,357.0,984.0,949.0,487
OPM %,17.0,22.0,32.0,35.0,21.0,15.0,26.0,21.0,12
Other Income,45.0,56.0,106.0,62.0,90.0,67.0,46.0,42.0,97
Interest,10.0,13.0,15.0,21.0,14.0,15.0,6.0,19.0,37
Depreciation,107.0,111.0,127.0,140.0,162.0,174.0,198.0,276.0,351
Profit before tax,262.0,381.0,749.0,1016.0,491.0,235.0,826.0,695.0,196
Tax %,16.0,19.0,29.0,32.0,32.0,29.0,32.0,41.0,
Net Profit,220.0,307.0,534.0,690.0,332.0,166.0,560.0,410.0,83
EPS in Rs,29.9,41.85,72.78,93.98,45.22,22.57,76.22,55.78,11.26
