,Mar 2012,Mar 2013,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,637.0,1001.0,1006.0,2567.0,3435.0,4315.0,6167.0,8527.0,10991.0,10837.0,13692.0,17158.0,18254
Expenses,610.0,958.0,966.0,2436.0,3284.0,4075.0,5805.0,8068.0,10341.0,10387.0,13067.0,16570.0,17639
Operating Profit,27.0,43.0,40.0,131.0,151.0,240.0,362.0,459.0,650.0,449.0,624.0,589.0,615
OPM %,4.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0,3
Other Income,2.0,3.0,2.0,6.0,9.0,15.0,50.0,71.0,-617.0,78.0,27.0,80.0,82
Interest,13.0,18.0,9.0,23.0,31.0,49.0,77.0,117.0,169.0,114.0,82.0,110.0,115
Depreciation,4.0,4.0,4.0,10.0,14.0,33.0,75.0,123.0,249.0,229.0,212.0,275.0,284
Profit before tax,13.0,24.0,29.0,104.0,115.0,172.0,261.0,289.0,-384.0,185.0,358.0,284.0,297
Tax %,37.0,30.0,34.0,36.0,29.0,29.0,-18.0,11.0,-12.0,60.0,30.0,22.0,
Net Profit,6.0,12.0,18.0,67.0,81.0,122.0,310.0,257.0,-432.0,74.0,251.0,223.0,235
EPS in Rs,5.14,9.98,9.4,26.05,7.17,9.61,21.37,17.57,-30.15,3.92,16.3,15.14,16.25
