,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,71.07,92.55,129.05,125.38,121.05,84.09,39.12,34.74,33.17,27.94,24.83,42.18,31.07
Expenses,65.3,82.88,118.13,107.36,111.7,76.03,33.09,29.93,27.62,22.57,20.86,40.8,30.94
Operating Profit,5.77,9.67,10.92,18.02,9.35,8.06,6.03,4.81,5.55,5.37,3.97,1.38,0.13
OPM %,8.12,10.45,8.46,14.37,7.72,9.58,15.41,13.85,16.73,19.22,15.99,3.27,0.42
Other Income,1.21,-0.78,1.44,0.38,1.19,0.41,0.58,1.27,1.01,0.41,0.87,4.75,1.66
Interest,3.57,2.98,2.91,5.29,4.44,3.28,2.16,1.94,0.86,0.82,0.54,0.19,0.08
Depreciation,2.97,2.32,4.09,2.93,2.99,2.75,3.17,2.84,4.95,4.55,3.08,2.63,2.58
Profit before tax,0.44,3.59,5.36,10.18,3.11,2.44,1.28,1.3,0.75,0.41,1.22,3.31,-0.87
Tax %,27.27,27.86,43.28,17.19,31.51,31.56,34.38,23.08,21.33,48.78,30.33,31.12,
Net Profit,0.32,2.59,3.03,8.44,2.13,1.67,0.84,1.0,0.59,0.21,0.85,2.28,-0.93
EPS in Rs,0.07,0.53,0.62,1.72,0.43,0.34,0.17,0.2,0.12,0.04,0.17,0.46,-0.18
