,Mar 2011,Mar 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6615.0,9785.0,21388.0,24153.0,12924.0,8723.0,5514.0,3352.0,3298.0,3848.0,7310.0,6937.0,6036
Expenses,4828.0,7408.0,16462.0,19111.0,15620.0,10048.0,19038.0,3482.0,3436.0,3652.0,6745.0,7016.0,6102
Operating Profit,1787.0,2377.0,4926.0,5042.0,-2696.0,-1325.0,-13524.0,-130.0,-138.0,196.0,564.0,-79.0,-66
OPM %,27.0,24.0,23.0,21.0,-21.0,-15.0,-245.0,-4.0,-4.0,5.0,8.0,-1.0,-1
Other Income,27.0,-26.0,84.0,463.0,77.0,-65.0,211.0,7063.0,2082.0,-3865.0,45.0,65.0,29
Interest,782.0,1235.0,2814.0,3513.0,2874.0,3442.0,4711.0,4309.0,94.0,489.0,476.0,501.0,560
Depreciation,531.0,749.0,1418.0,1522.0,1063.0,561.0,545.0,550.0,542.0,295.0,342.0,365.0,351
Profit before tax,501.0,367.0,779.0,471.0,-6555.0,-5393.0,-18569.0,2075.0,1308.0,-4454.0,-209.0,-880.0,-948
Tax %,36.0,75.0,62.0,46.0,34.0,43.0,-0.0,-0.0,-0.0,-27.0,0.0,-0.0,
Net Profit,312.0,93.0,297.0,258.0,-4357.0,-3083.0,-18580.0,2076.0,1310.0,-5673.0,-209.0,-880.0,-948
EPS in Rs,2.37,0.68,2.15,1.88,-31.63,-22.39,-134.9,15.07,5.93,-11.43,-0.42,-1.77,-1.91
