,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3934.0,3774.0,2402.0,1644.0,2048.0,1719.0,1578.0,1749.0,1387.0,1056.0,1459.0,1705.0,2132
Expenses,3341.0,3235.0,2620.0,1802.0,2118.0,1601.0,1567.0,1572.0,1432.0,954.0,1253.0,1367.0,1610
Operating Profit,593.0,538.0,-219.0,-158.0,-69.0,118.0,11.0,177.0,-45.0,103.0,205.0,338.0,522
OPM %,15.0,14.0,-9.0,-10.0,-3.0,7.0,1.0,10.0,-3.0,10.0,14.0,20.0,24
Other Income,36.0,48.0,35.0,52.0,503.0,391.0,525.0,253.0,169.0,185.0,322.0,1456.0,1449
Interest,238.0,294.0,380.0,515.0,397.0,399.0,369.0,378.0,341.0,325.0,373.0,363.0,270
Depreciation,43.0,60.0,69.0,92.0,66.0,59.0,55.0,48.0,45.0,32.0,31.0,42.0,46
Profit before tax,347.0,232.0,-633.0,-712.0,-29.0,50.0,111.0,3.0,-263.0,-70.0,123.0,1389.0,1655
Tax %,25.0,25.0,33.0,32.0,-22.0,68.0,41.0,102.0,-1.0,128.0,67.0,17.0,
Net Profit,260.0,174.0,-408.0,-483.0,-45.0,-12.0,33.0,-0.0,-266.0,19.0,40.0,1153.0,1315
EPS in Rs,42.67,26.45,-72.53,-84.44,-8.16,-1.06,5.0,2.51,-28.62,2.83,3.41,164.83,187.55
